KINASE	P_VALUE	CHI2_P_VALUE	UPID	FOUND	SUB#	ADJ_P_VALUE	HITS
RAF1	0.37593864822434114	0.9556554371712443	P04049	1	13	0.6265644137072353	O14974-T696
VRK2	0.3981784625285897	0.9982385594633469	Q86Y07	1	14	0.6548987870536015	P04406-S148(i)
PKG2	0.41962720450167634	1.0	Q13237	1	15	0.6724794943937121	P08581-S990(i)
PKCH	0.41962720450167634	1.0	P24723	1	15	0.6724794943937121	P09211-S43
PAK2	0.4316627074006414	0.9729373208587285	Q13177	2	41	0.6830106129756984	P35222-S552, P62805-S48(i)
MKK4	0.440312959551808	1.0	P45985	1	16	0.6879889992996999	Q16539-Y182
Pim1	0.4753096826837327	1.0	P11309	3	72	0.7335025967341554	O60381-S380, O60381-S380(i), P63104-S64
Chk2	0.49352088390781745	1.0	O96017	3	74	0.7514470191972807	O75385-S556, P14618-S97(i), P16403-S36
PKCI	0.5026267937953306	1.0	P41743	2	47	0.7514470191972807	Q13464-S1341, Q13464-S1341(i)
PKCA	0.5049723969005727	1.0	P17252	18	497	0.7514470191972807	O75376-S70, P04792-S15, P08581-S990(i), P08833-S194, P16150-S351, P16150-S355(i), P21730-S327, P21730-S327(i), P31749-T308, Q01995-S181, Q07954-S4520, Q07954-S4520(i), Q9UQ80-S361(i), Q9Y624-S284, Q9Y624-S287(i)
TrkA	0.5332121909498909	1.0	P04629	1	21	0.7789311480193514	P40763-Y705
CDK6	0.5359046298373137	1.0	Q00534	2	50	0.7789311480193514	P06400-S249, P21333-S2152
PAK4	0.5498564808192169	1.0	O96013	1	22	0.787818675739674	P35222-S675
PRKD1	0.5546243477207304	1.0	Q15139	3	81	0.787818675739674	P31749-T308, Q9GZY8-S155, Q9GZY8-S157(i)
ERK2	0.5713174748706038	1.0	P28482	16	459	0.8024121838070278	C9JLW8-S21, P30041-T177, P35612-S592, P35612-S592(i), P49137-T222, Q13541-S65, Q13541-T70, Q13586-S575, Q13586-S608, Q15746-S1776(i), Q15746-S1779, Q15788-S395, Q96RK0-S1397(i), Q9H8Y8-T225, Q9H8Y8-T225(i)
ChaK1	0.587880737148233	1.0	Q96QT4	2	55	0.8102154367419399	O00418-S72(i), O00418-S74(i)
NEK6	0.5963185614420677	1.0	Q9HC98	1	25	0.8102154367419399	P40763-Y705
Cot	0.5963185614420677	1.0	P41279	1	25	0.8102154367419399	Q13541-T70
MELK	0.6107166733571954	1.0	Q14680	1	26	0.8208557437596712	P23588-S422
ASK1	0.6246022148955205	1.0	Q99683	1	27	0.8218450195993691	Q16539-Y182
LATS1	0.6246022148955205	1.0	O95835	1	27	0.8218450195993691	O94885-S407
MARK2	0.6509077928277069	1.0	Q7KZI7	1	29	0.8475361885777434	Q9UQB8-S366
CDK2	0.6728606436314406	0.8304977241418106	P24941	14	430	0.8670884582879389	O75533-T235(i), P06400-S249, P10644-S83, P13639-T435, P25054-S1362(i), P30050-S38, Q08999-S639, Q12906-S382, Q15788-S395, Q6PKG0-S766(i), Q6PKG0-S774, Q6PKG0-T649, Q9H8Y8-T225, Q9UKM9-S135
PKCB	0.7023774326034842	1.0	P05771	2	68	0.8958895824024032	P21730-S327(i), P31749-T308
AurA	0.7184129481477958	0.8735544271899724	O14965	4	136	0.9070870557421663	P14618-T50(i), P49810-S22(i), P49810-S25(i), Q96CX2-S200
TAK1	0.748288686531944	1.0	O43318	1	38	0.93536085816493	Q8IVT5-S406
ULK1	0.765160298098981	0.8815747040458167	O75385	2	77	0.9354997805146286	Q8TEV9-S489(i), Q8TEV9-S492
P38A	0.7668424896816292	0.6875154619871664	Q16539	7	243	0.9354997805146286	O60381-S402, P06400-S249, P06702-T113, P27816-S787, P49137-T222, Q9GZY8-S155, Q9GZY8-S157(i)
IKKE	0.7742972980452634	1.0	Q14164	1	41	0.9354997805146286	P31749-T308
